"","HGNC_ID","Treatment","Cell_Line","mean","sd"
"82","SMARCA4","si16","CHLA9",30995.50501,3494.89208074412
"83","SMARCA4","si16","TC252",26037.9133833333,5704.03798519058
"84","SMARCA4","si16","TC32",25495.7799633333,4084.46899734308
"85","SMARCA4","si16","TC71",11600.1643833333,2329.8392583672
"86","SMARCA4","si30","CHLA10",33994.1590033333,8098.78410755737
"87","SMARCA4","si30","CHLA9",29149.5543233333,3905.60023757328
"88","SMARCA4","si30","TC252",31724.7974233333,7459.83216651831
"89","SMARCA4","si30","TC32",24048.7025433333,1765.79355770825
"90","SMARCA4","si30","TC71",13931.4896166667,1468.39606766283
"91","SMARCA4","siNeg_16","CHLA10",25411.5125633333,5569.99419371581
"92","SMARCA4","siNeg_16","CHLA9",26387.8125233333,2145.1528569141
"93","SMARCA4","siNeg_16","TC252",27448.3582633333,6037.25861840816
"94","SMARCA4","siNeg_16","TC32",25070.93527,5962.89026209772
"95","SMARCA4","siNeg_16","TC71",12311.8970033333,2130.02041643268
"96","SMARCA4","siNeg_30","CHLA10",27400.84265,5897.68910877084
"97","SMARCA4","siNeg_30","CHLA9",28165.3369333333,313.664640032094
"98","SMARCA4","siNeg_30","TC252",26484.7237466667,1223.74066559327
"99","SMARCA4","siNeg_30","TC32",30946.2108366667,7095.65558922836
"100","SMARCA4","siNeg_30","TC71",13110.3795233333,2140.90303180405
"101","SMARCB1","si16","CHLA10",4829.3384,562.004463271657
"102","SMARCB1","si16","CHLA9",5706.66949666667,624.93542713883
"103","SMARCB1","si16","TC252",4692.00179,1129.05635543694
"104","SMARCB1","si16","TC32",4354.00189,606.060378446027
"105","SMARCB1","si16","TC71",3415.33249333333,807.388292889228
"106","SMARCB1","si30","CHLA10",5887.33819666667,1295.38030896779
"107","SMARCB1","si30","CHLA9",5471.33547,722.798895592662
"108","SMARCB1","si30","TC252",6109.33644333333,1428.90859145769
"109","SMARCB1","si30","TC32",4502.99686666667,338.69049484016
"110","SMARCB1","si30","TC71",3785.33532333333,322.463453234666
"111","SMARCB1","siNeg_16","CHLA10",4420.00199333333,908.58641164362
"112","SMARCB1","siNeg_16","CHLA9",5006.00399666667,485.953342609354
"113","SMARCB1","siNeg_16","TC252",5062.66777,1062.88956049656
"114","SMARCB1","siNeg_16","TC32",4492.00205333333,1117.37171615909
"115","SMARCB1","siNeg_16","TC71",3555.99989833333,538.281474504666
"116","SMARCB1","siNeg_30","CHLA10",4504.99865666667,833.401507183988
"117","SMARCB1","siNeg_30","CHLA9",5503.33159,207.233460620874
"118","SMARCB1","siNeg_30","TC252",4794.33276333333,210.034734321903
"119","SMARCB1","siNeg_30","TC32",5638.00202333333,972.449998919948
"120","SMARCB1","siNeg_30","TC71",3393.66689433333,593.576971450526
"121","SMARCC1","si16","CHLA10",13786.0624566667,1382.46495665531
"122","SMARCC1","si16","CHLA9",46963.45866,5050.18035132837
"123","SMARCC1","si16","TC252",29764.33123,6304.204592713
"124","SMARCC1","si16","TC32",18795.3040666667,3289.82798231878
"125","SMARCC1","si16","TC71",14888.93227,1760.34094490617
"126","SMARCC1","si30","CHLA10",18020.6523633333,3924.70236185695
"127","SMARCC1","si30","CHLA9",51830.0689766667,5921.129330243
"128","SMARCC1","si30","TC252",38999.96359,8801.24221070162
"129","SMARCC1","si30","TC32",18937.8974733333,1223.51830523867
"130","SMARCC1","si30","TC71",16835.4771866667,1885.23429052398
"131","SMARCC1","siNeg_16","CHLA10",13136.3225466667,2859.13576744861
"132","SMARCC1","siNeg_16","CHLA9",47956.03232,4469.26775022409
"133","SMARCC1","siNeg_16","TC252",33646.6563533333,6135.72289590408
"134","SMARCC1","siNeg_16","TC32",20811.6996366667,5267.34541122821
"135","SMARCC1","siNeg_16","TC71",17795.33834,2429.74298318297
"136","SMARCC1","siNeg_30","CHLA10",13695.01166,2631.60122614014
"137","SMARCC1","siNeg_30","CHLA9",54830.1897933333,5850.05872645675
"138","SMARCC1","siNeg_30","TC252",34733.95279,1630.48835821238
"139","SMARCC1","siNeg_30","TC32",25896.3921366667,5793.76200368645
"140","SMARCC1","siNeg_30","TC71",16915.42017,3388.20206313579
"141","SMARCC2","si16","CHLA10",4756.37036666667,958.637834038165
"142","SMARCC2","si16","CHLA9",6457.991077,838.112181001893
"143","SMARCC2","si16","TC252",5441.33635966667,1195.1150696324
"144","SMARCC2","si16","TC32",5499.19130633333,812.288739068619
"145","SMARCC2","si16","TC71",3044.08492566667,366.614871675632
"146","SMARCC2","si30","CHLA10",5472.26444466667,1229.74893367651
"147","SMARCC2","si30","CHLA9",7087.407378,949.721540169162
"148","SMARCC2","si30","TC252",7422.65841633333,1677.44196637953
"149","SMARCC2","si30","TC32",6358.514656,506.825499874886
"150","SMARCC2","si30","TC71",4390.509925,505.865165840995
"151","SMARCC2","siNeg_16","CHLA10",4332.54865466667,899.790321451398
"152","SMARCC2","siNeg_16","CHLA9",7168.953598,742.440642960856
"153","SMARCC2","siNeg_16","TC252",7548.24454866667,1738.23870981067
"154","SMARCC2","siNeg_16","TC32",7603.463255,2014.46904199262
"155","SMARCC2","siNeg_16","TC71",3951.31164766667,563.053809924499
"156","SMARCC2","siNeg_30","CHLA10",4891.06344966667,1102.69187683844
"157","SMARCC2","siNeg_30","CHLA9",8032.81268966667,1861.62115252746
"158","SMARCC2","siNeg_30","TC252",6719.78738033333,282.26522442455
"159","SMARCC2","siNeg_30","TC32",9037.05000433333,2008.75911899338
"160","SMARCC2","siNeg_30","TC71",4492.56647633333,614.680486413465
"161","SMARCD1","si16","CHLA10",4719.335364,536.04363005632
"162","SMARCD1","si16","CHLA9",5988.33790733333,594.444920089363
"163","SMARCD1","si16","TC252",6029.000615,1459.80518335382
"164","SMARCD1","si16","TC32",4181.66406833333,711.376121105508
"165","SMARCD1","si16","TC71",4569.33537233333,667.240487453527
"166","SMARCD1","si30","CHLA10",5651.337343,1297.12896409547
"167","SMARCD1","si30","CHLA9",6700.99790566667,899.101923847503
"168","SMARCD1","si30","TC252",8226.67301333333,1764.48390133529
"169","SMARCD1","si30","TC32",5234.00101566667,330.93501213049
"170","SMARCD1","si30","TC71",4853.329963,418.661641907801
"171","SMARCD1","siNeg_16","CHLA10",4525.25093825,756.479214169078
"172","SMARCD1","siNeg_16","CHLA9",6074.24905825,505.575714739756
"173","SMARCD1","siNeg_16","TC252",6762.502416,1206.32829226322
"174","SMARCD1","siNeg_16","TC32",6316.75149475,1479.60833833211
"175","SMARCD1","siNeg_16","TC71",5052.99999,785.08194440507
"176","SMARCD1","siNeg_30","CHLA10",4324.999819,1154.00619073504
"177","SMARCD1","siNeg_30","CHLA9",6576.5019275,129.397764148808
"178","SMARCD1","siNeg_30","TC252",7089.003063,53.7399244513464
"179","SMARCD1","siNeg_30","TC32",7840.999773,2319.31501243422
"180","SMARCD1","siNeg_30","TC71",5952.9968615,673.165427294103
"181","SMARCD2","si16","CHLA10",1628.99922933333,134.903881676955
"182","SMARCD2","si16","CHLA9",2150.99857466667,241.710121773976
"183","SMARCD2","si16","TC252",2792.99882133333,590.537135971675
"184","SMARCD2","si16","TC32",3189.66957933333,553.602088290039
"185","SMARCD2","si16","TC71",2664.336421,283.417934223522
"186","SMARCD2","si30","CHLA10",2239.33265,492.832609701499
"187","SMARCD2","si30","CHLA9",2569.33265466667,251.660815608606
"188","SMARCD2","si30","TC252",3823.33404033333,829.994285215701
"189","SMARCD2","si30","TC32",4023.33297366667,241.816405990387
"190","SMARCD2","si30","TC71",2651.99642866667,245.258420378429
"191","SMARCD2","siNeg_16","CHLA10",1827.33348566667,349.371574286621
"192","SMARCD2","siNeg_16","CHLA9",2670.665876,337.199625435294
"193","SMARCD2","siNeg_16","TC252",4000.334137,688.344536508971
"194","SMARCD2","siNeg_16","TC32",4273.66744266667,1083.80775957607
"195","SMARCD2","siNeg_16","TC71",3691.002339,509.729730539056
"196","SMARCD2","siNeg_30","CHLA10",2023.66720866667,412.195313109952
"197","SMARCD2","siNeg_30","CHLA9",2744.33352833333,473.769204306463
"198","SMARCD2","siNeg_30","TC252",3587.99744766667,216.363511880997
"199","SMARCD2","siNeg_30","TC32",5294.33277433333,1114.15760367795
"200","SMARCD2","siNeg_30","TC71",4052.33191766667,737.563154785393
"201","SMARCD3","si16","CHLA10",1907.000435,169.741056221013
"202","SMARCD3","si16","CHLA9",1557.66660066667,168.397303085119
"203","SMARCD3","si16","TC252",1731.66659866667,404.276849589889
"204","SMARCD3","si16","TC32",1216.33338856667,274.955159594518
"205","SMARCD3","si16","TC71",519.333455866667,134.838150884714
"206","SMARCD3","si30","CHLA10",2151.66753033333,557.90336091866
"207","SMARCD3","si30","CHLA9",1436.667186,104.17532611562
"208","SMARCD3","si30","TC252",2099.665298,493.566180065561
"209","SMARCD3","si30","TC32",1048.99963066667,59.1522579621837
"210","SMARCD3","si30","TC71",679.666755533333,84.5246439492717
"211","SMARCD3","siNeg_16","CHLA10",1956.00008466667,435.675857450017
"212","SMARCD3","siNeg_16","CHLA9",1654.33369033333,127.453332594145
"213","SMARCD3","siNeg_16","TC252",2045.33184333333,416.737722597265
"214","SMARCD3","siNeg_16","TC32",1217.99951303333,349.678682354248
"215","SMARCD3","siNeg_16","TC71",482.000089333333,109.000218500061
"216","SMARCD3","siNeg_30","CHLA10",1884.333058,364.022406933597
"217","SMARCD3","siNeg_30","CHLA9",1451.333054,148.003687789787
"218","SMARCD3","siNeg_30","TC252",2092.33453766667,124.328000606881
"219","SMARCD3","siNeg_30","TC32",1444.33328033333,265.18164894911
"220","SMARCD3","siNeg_30","TC71",434.6668175,85.0963578691322
"221","SMARCE1","si16","CHLA10",6244.84310133333,1010.22953635353
"222","SMARCE1","si16","CHLA9",12727.64981,1138.52431647465
"223","SMARCE1","si16","TC252",13339.9144366667,2745.7551012901
"224","SMARCE1","si16","TC32",10024.0576946667,1484.53493881612
"225","SMARCE1","si16","TC71",3691.23763166667,859.51208655385
"226","SMARCE1","si30","CHLA10",6616.71182266667,1098.74787422388
"227","SMARCE1","si30","CHLA9",11971.0641833333,1608.22046333129
"228","SMARCE1","si30","TC252",16407.1150833333,3530.20798981178
"229","SMARCE1","si30","TC32",10017.2867736667,670.679919572275
"230","SMARCE1","si30","TC71",4736.45742666667,552.522895002966
"231","SMARCE1","siNeg_16","CHLA10",5182.113055,1140.42914514918
"232","SMARCE1","siNeg_16","CHLA9",11289.8307466667,972.424834612857
"233","SMARCE1","siNeg_16","TC252",13074.5721633333,2662.57022603575
"234","SMARCE1","siNeg_16","TC32",9278.86289166667,2322.09574769637
"235","SMARCE1","siNeg_16","TC71",3886.09678433333,482.193914115085
"236","SMARCE1","siNeg_30","CHLA10",5098.22443533333,986.646888050839
"237","SMARCE1","siNeg_30","CHLA9",12276.6460066667,1227.30414044889
"238","SMARCE1","siNeg_30","TC252",12599.9724833333,681.603437774833
"239","SMARCE1","siNeg_30","TC32",11991.802964,2350.07075032903
"240","SMARCE1","siNeg_30","TC71",3805.90206733333,489.298856533143
