"","HGNC_ID","Cell Line","Treatment","Expression_Value"
"616","SMARCA2","TC71","si30",720.0147461
"617","SMARCD3","TC71","si30",593.9999073
"618","SMARCB1","TC71","si30",3412.99777
"619","SMARCD2","TC71","si30",2370.994988
"620","ARID1A","TC71","si30",7639.255493
"621","SMARCA4","TC71","si30",12246.1636
"622","ACTL6A","TC71","si30",4366.859171
"623","SMARCC2","TC71","si30",3830.32331
"624","SMARCC1","TC71","si30",14996.53359
"625","ARID1B","TC71","si30",4756.064133
"626","SMARCD1","TC71","si30",5202.002099
"627","SMARCE1","TC71","si30",5346.796499
"628","SMARCA2","TC71","si30",846.036183
"629","SMARCD3","TC71","si30",681.9994541
"630","SMARCB1","TC71","si30",3974.00179
"631","SMARCD2","TC71","si30",2761.995747
"632","ARID1A","TC71","si30",9611.050211
"633","SMARCA4","TC71","si30",14935.22458
"634","ACTL6A","TC71","si30",5266.993205
"635","SMARCC2","TC71","si30",4813.930771
"636","SMARCC1","TC71","si30",18763.82121
"637","ARID1B","TC71","si30",4833.89397
"638","SMARCD1","TC71","si30",4968.991096
"639","SMARCE1","TC71","si30",4592.210891
"640","SMARCA2","TC71","si30",800.999067
"641","SMARCD3","TC71","si30",763.0009052
"642","SMARCB1","TC71","si30",3969.00641
"643","SMARCD2","TC71","si30",2822.998551
"644","ARID1A","TC71","si30",8686.23706
"645","SMARCA4","TC71","si30",14613.08067
"646","ACTL6A","TC71","si30",4582.802807
"647","SMARCC2","TC71","si30",4527.275694
"648","SMARCC1","TC71","si30",16746.07676
"649","ARID1B","TC71","siNeg_16",2646.33541
"650","SMARCD1","TC71","siNeg_16",4328.990725
"651","SMARCE1","TC71","siNeg_16",3345.396958
"652","SMARCA2","TC71","siNeg_16",393.000095
"653","SMARCD3","TC71","siNeg_16",372.9998041
"654","SMARCB1","TC71","siNeg_16",2963.99593
"655","SMARCD2","TC71","siNeg_16",3156.003086
"656","ARID1A","TC71","siNeg_16",5540.208085
"657","SMARCA4","TC71","siNeg_16",10163.26649
"658","ACTL6A","TC71","siNeg_16",5388.201877
"659","SMARCC2","TC71","siNeg_16",3326.64161
"660","SMARCC1","TC71","siNeg_16",15042.02212
"661","ARID1B","TC71","siNeg_16",3418.860716
"662","SMARCD1","TC71","siNeg_16",5363.001315
"663","SMARCE1","TC71","siNeg_16",4041.36523
"664","SMARCA2","TC71","siNeg_16",522.999656
"665","SMARCD3","TC71","siNeg_16",482.0002228
"666","SMARCB1","TC71","siNeg_16",3688.003645
"667","SMARCD2","TC71","siNeg_16",3746.001971
"668","ARID1A","TC71","siNeg_16",6652.602018
"669","SMARCA4","TC71","siNeg_16",12349.61824
"670","ACTL6A","TC71","siNeg_16",6487.046566
"671","SMARCC2","TC71","siNeg_16",4107.537407
"672","SMARCC1","TC71","siNeg_16",18704.99719
"673","ARID1B","TC71","siNeg_16",3872.08294
"674","SMARCD1","TC71","siNeg_16",6016.003118
"675","SMARCE1","TC71","siNeg_16",4271.528165
"676","SMARCA2","TC71","siNeg_16",560.0122017
"677","SMARCD3","TC71","siNeg_16",591.0002411
"678","SMARCB1","TC71","siNeg_16",4016.00012
"679","SMARCD2","TC71","siNeg_16",4171.00196
"680","ARID1A","TC71","siNeg_16",8191.443045
"681","SMARCA4","TC71","siNeg_16",14422.80628
"682","ACTL6A","TC71","siNeg_16",6647.501155
"683","SMARCC2","TC71","siNeg_16",4419.755926
"684","SMARCC1","TC71","siNeg_16",19638.99571
"685","ARID1B","TC71","siNeg_16",2570.556001
"686","SMARCD1","TC71","siNeg_16",4504.004802
"687","SMARCE1","TC71","siNeg_30",3355.892514
"688","SMARCA2","TC71","siNeg_30",364.9999694
"689","SMARCD3","TC71","siNeg_30",351.9997544
"690","SMARCB1","TC71","siNeg_30",2837.999102
"691","SMARCD2","TC71","siNeg_30",3331.999891
"692","ARID1A","TC71","siNeg_30",6071.21875
"693","SMARCA4","TC71","siNeg_30",11204.38715
"694","ACTL6A","TC71","siNeg_30",5140.960269
"695","SMARCC2","TC71","siNeg_30",3931.119478
"696","SMARCC1","TC71","siNeg_30",13564.96551
"697","ARID1B","TC71","siNeg_30",3278.39103
"698","SMARCD1","TC71","siNeg_30",5476.997023
"699","SMARCE1","TC71","siNeg_30",3735.048901
"700","SMARCA2","TC71","siNeg_30",420.0002167
"701","SMARCD3","TC71","siNeg_30",430.0002661
"702","SMARCB1","TC71","siNeg_30",3323.99741
"703","SMARCD2","TC71","siNeg_30",4018.999855
"704","ARID1A","TC71","siNeg_30",7100.437672
"705","SMARCA4","TC71","siNeg_30",12699.97533
"706","ACTL6A","TC71","siNeg_30",6185.083591
"707","SMARCC2","TC71","siNeg_30",4397.238049
"708","SMARCC1","TC71","siNeg_30",16841.1466
"709","ARID1B","TC71","siNeg_30",4069.02353
"710","SMARCD1","TC71","siNeg_30",6428.9967
"711","SMARCE1","TC71","siNeg_30",4326.764787
"712","SMARCA2","TC71","siNeg_30",567.000226
"713","SMARCD3","TC71","siNeg_30",522.000432
"714","SMARCB1","TC71","siNeg_30",4019.004171
"715","SMARCD2","TC71","siNeg_30",4805.996007
"716","ARID1A","TC71","siNeg_30",7993.001262
"717","SMARCA4","TC71","siNeg_30",15426.77609
"718","ACTL6A","TC71","siNeg_30",7567.741229
"719","SMARCC2","TC71","siNeg_30",5149.341902
"720","SMARCC1","TC71","siNeg_30",20340.1484
